"Data.in.Byte" , "Gap.in.Byte" , "Datasieving.1.on" , "Buffer.in.MByte" , "fill_level"     , "mean_value"      
524288         , 262144        , 1                  , 4                 , 66.6666666666667 , 44.514814         
524288         , 262144        , 1                  , 100               , 66.6666666666667 , 44.514814         
524288         , 524288        , 0                  , 4                 , 50               , 47.6458744        
524288         , 524288        , 1                  , 1                 , 50               , 60.4459646        
524288         , 524288        , 1                  , 4                 , 50               , 60.688868         
524288         , 524288        , 1                  , 100               , 50               , 60.688868         
524288         , 1048576       , 0                  , 4                 , 33.3333333333333 , 35.7853072        
524288         , 1048576       , 1                  , 1                 , 33.3333333333333 , 26.7991914        
524288         , 1048576       , 1                  , 4                 , 33.3333333333333 , 28.9219156        
524288         , 1048576       , 1                  , 100               , 33.3333333333333 , 28.9219156        
524288         , 1572864       , 0                  , 4                 , 25               , 79.4147482        
524288         , 1572864       , 1                  , 1                 , 25               , 35.5166222        
524288         , 1572864       , 1                  , 4                 , 25               , 37.4640006        
524288         , 1572864       , 1                  , 100               , 25               , 37.4640006        
524288         , 2097152       , 0                  , 4                 , 20               , 60.1423472        
